Site,Latitude,Longitude,Census,Date,Tidepool,Group,Volume,Light_initial,Height,Salinity,Treatment,Sample_time,Algae_cover,H_inital,Diversity,H_change,E_inital,Evenness,E_change,S_intial,Richness,S_change
Shore Pine,49.3334,-123.2680,4,2020-11-27,19,8,0.02128896,20807,3.2,21,Control,Night,,0.7464130781,0.6362648996,-0.1101481785,0.5384232231,0.4589681077,-0.07945511543,4,4,0
Shore Pine,49.3333,-123.2680,4,2020-11-28,20,4,0.3467772,18890,3.2,21,Elevated,Night,,0.1793157013,0.3597981138,0.1804824125,0.1293489365,0.2008071507,0.07145821423,4,6,2
Shore Pine,49.3334,-123.2681,4,2020-11-27,21,8,0.04256,25038,3.3,21,Removed,Night,,0.5764494392,0.9556436546,0.3791942154,0.4158203736,0.6893511807,0.273530807,4,4,0
Shore Pine,49.3334,-123.2681,4,2020-11-28,22,2,0.8190144,19400,3.1,20,Elevated,Night,,1.020510001,1.155310356,0.134800355,0.5695574763,0.6447909865,0.0752335102,6,6,0
Shore Pine,49.3334,-123.2681,4,2020-11-28,23,6,0.1492224,23910,3.1,20,Elevated,Night,,0.2727899627,0.6109772755,0.3381873129,0.1967763632,0.3139802091,0.117203846,4,7,3
Shore Pine,49.3336,-123.2681,4,2020-11-27,24,7,0.1001052,11622,3.3,22,Elevated,Night,,0.5876804507,0.5747053361,-0.01297511462,0.423921836,0.4145622692,-0.009359566757,4,4,0
West Beach,49.3311,-123.2660,4,2020-11-29,25,2,0.15343944,6369,3.4,22,Elevated,Night,,0.4031305124,0.3556583384,-0.04747217397,0.2249914229,0.2209829504,-0.004008472426,6,5,-1
West Beach,49.3311,-123.2661,4,2020-11-29,26,2,0.2660736,6408,3.7,22,Control,Night,,1.019078598,1.087695443,0.06861684427,0.6331891343,0.558964885,-0.07422424926,5,7,2
West Beach,49.3310,-123.2660,4,2020-11-29,27,1,1.013376,13979,3.7,22,Removed,Night,,1.165825013,1.075051691,-0.09077332227,0.6506593286,0.552467282,-0.09819204664,6,7,1
West Beach,49.3307,-123.2661,4,2020-11-29,28,1,0.351072,5957,3.8,22,Control,Night,,0.5653868648,0.6808845476,0.1154976828,0.407840413,0.3800089015,-0.02783151152,4,6,2
West Beach,49.3310,-123.2662,4,2020-11-29,29,1,1.3318672,11760,3.6,22,Elevated,Night,,0.7215784929,0.7270025205,0.005424027596,0.4027206248,0.4057478322,0.003027207419,6,6,0
West Beach,49.3310,-123.2660,4,2020-11-29,30,2,0.33088,11226,4.0,22,Removed,Night,,0.8001812896,0.9901733492,0.1899920596,0.5772087891,0.4761727268,-0.1010360623,4,8,4
Shore Pine,49.3334,-123.2680,5,2020-12-27,1,1,2.7296976,14919,3.2,23,Control,Night,,0.9231818935,0.9972907586,0.07410886517,0.5736051614,0.6196515883,0.04604642689,5,5,0
Shore Pine,49.3334,-123.2681,5,2020-12-28,2,5,0.15624,18349,3.2,25,Removed,Night,,0.9079829704,1.106216298,0.1982333278,0.5641615395,0.6173910713,0.05322953181,5,6,1
Shore Pine,49.3334,-123.2680,5,2020-12-27,3,1,1.6832928,17865,3.3,26,Elevated,Night,,0.9407822057,0.9486731716,0.007890965941,0.5250605463,0.589443783,0.06438323675,6,5,-1
Shore Pine,49.3334,-123.2680,5,2020-12-27,4,3,0.5103072,13986,3.6,NA,Removed,Night,,1.068025869,NA,NA,0.7704178125,NA,NA,4,NA,NA
Shore Pine,49.3334,-123.2681,5,2020-12-27,5,8,0.04733344,20730,3.6,25,Elevated,Night,,0.9235929018,1.133605631,0.2100127291,0.8406904886,0.6326773489,-0.2080131397,3,6,3
Shore Pine,49.3335,-123.2682,5,2020-12-28,6,1,2.97024,27153,3.6,27,Removed,Night,,0.8059485626,0.9272291517,0.1212805891,0.5813689973,0.5761198643,-0.005249132957,4,5,1
Shore Pine,49.3334,-123.2684,5,2020-12-27,7,7,0.05155232,16909,3.5,25,Removed,Night,,1.022719071,1.321361818,0.2986427469,0.930919016,0.8210082585,-0.1099107575,3,5,2
Shore Pine,49.3334,-123.2680,5,2020-12-27,8,6,0.114156,17821,3.5,25,Control,Night,,1.090667369,1.174967439,0.08430006955,0.9927682225,0.7300483165,-0.2627199059,3,5,2
Shore Pine,49.3333,-123.2684,5,2020-12-28,9,5,0.2342912,2860,3.4,26,Control,Night,,0.5152863416,0.4925580279,-0.02272831371,0.3201654053,0.2749018695,-0.04526353578,5,6,1
Shore Pine,49.3335,-123.2681,5,2020-12-27,10,4,0.379544,18308,3.6,26,Control,Night,,1.000609516,1.214090928,0.2134814125,0.6217136482,0.6775970488,0.05588340064,5,6,1
Shore Pine,49.3334,-123.2682,5,2020-12-27,11,2,1.176528,21443,3.6,27,Control,Night,,1.149649196,0.8954373948,-0.2542118015,0.7143172081,0.4997531254,-0.2145640827,5,6,1
Shore Pine,49.3334,-123.2680,5,2020-12-27,12,6,0.0989298,21498,3.6,26,Removed,Night,,1.056533599,1.036465842,-0.02006775707,0.6564612345,0.643992436,-0.01246879852,5,5,0
Shore Pine,49.3335,-123.2682,5,2020-12-27,13,7,0.09892352,23947,3.6,26,Control,Night,,1.041277618,1.075114638,0.03383702001,0.7511230279,0.7755312784,0.02440825048,4,4,0
Shore Pine,49.3335,-123.2681,5,2020-12-27,14,5,0.21402108,19434,3.5,27,Elevated,Night,,0.4799666384,0.6668300056,0.1868633672,0.3462227445,0.4143247779,0.0681020334,4,5,1
Shore Pine,49.3335,-123.2681,5,2020-12-28,15,3,0.7928856,23124,3.5,25,Control,Night,,0.8623680439,0.987663057,0.1252950131,0.5358193921,0.4749655315,-0.06085386068,5,8,3
Shore Pine,49.3335,-123.2680,5,2020-12-27,16,4,0.4657716,20088,3.5,27,Removed,Night,,0.8989818513,1.115170834,0.2161889828,0.5585688297,0.6928945972,0.1343257675,5,5,0
Shore Pine,49.3334,-123.2681,5,2020-12-28,17,2,1.4409408,20103,3.5,26,Removed,Night,,0.9101680974,1.191070813,0.280902716,0.4677338765,0.6120893166,0.1443554401,7,7,0
Shore Pine,49.3335,-123.2681,5,2021-01-13,18,3,0.51652,23947,3.1,25,Elevated,Night,,0.9430601219,0.7522653248,-0.1907947971,0.4846370334,0.3865879034,-0.09804912999,7,7,0
Shore Pine,49.3334,-123.2680,5,2020-12-27,19,8,0.02128896,20807,3.2,26,Control,Night,,0.7464130781,0.7957817844,0.04936870633,0.5384232231,0.4944470229,-0.04397620016,4,5,1
Shore Pine,49.3333,-123.2680,5,2020-12-27,20,4,0.3467772,18890,3.2,26,Elevated,Night,,0.1793157013,0.2773183542,0.09800265293,0.1293489365,0.1723075815,0.04295864497,4,5,1
Shore Pine,49.3334,-123.2681,5,2020-12-27,21,8,0.04256,25038,3.3,26,Removed,Night,,0.5764494392,0.8083923076,0.2319428684,0.4158203736,0.5831317866,0.167311413,4,4,0
Shore Pine,49.3334,-123.2681,5,2020-12-28,22,2,0.8190144,19400,3.1,25,Elevated,Night,,1.020510001,0.8957513432,-0.1247586578,0.5695574763,0.4603251305,-0.1092323458,6,7,1
Shore Pine,49.3334,-123.2681,5,2021-01-13,23,6,0.1492224,23910,3.1,25,Elevated,Night,,0.2727899627,0.5203326863,0.2475427237,0.1967763632,0.2904032016,0.09362683841,4,6,2
Shore Pine,49.3336,-123.2681,5,2020-12-27,24,7,0.1001052,11622,3.3,25,Elevated,Night,,0.5876804507,0.7413691177,0.153688667,0.423921836,0.4606385323,0.0367166963,4,5,1
West Beach,49.3311,-123.2660,5,2020-12-28,25,10,0.15343944,6369,3.4,27,Elevated,Night,,0.4031305124,0.4021642404,-0.0009662719674,0.2249914229,0.2244521362,-0.0005392866532,6,6,0
West Beach,49.3311,-123.2661,5,2020-12-28,26,10,0.2660736,6408,3.7,27,Control,Night,,1.019078598,0.8487315164,-0.1703470821,0.6331891343,0.4736860784,-0.1595030559,5,6,1
West Beach,49.3310,-123.2660,5,2020-12-28,27,9,1.013376,13979,3.7,27,Removed,Night,,1.165825013,1.060077975,-0.105747038,0.6506593286,0.5447723143,-0.1058870143,6,7,1
West Beach,49.3307,-123.2661,5,2020-12-28,28,9,0.351072,5957,3.8,21,Control,Night,,0.5653868648,0.5512201454,-0.01416671939,0.407840413,0.3076418207,-0.1001985923,4,6,2
West Beach,49.3310,-123.2662,5,2020-12-28,29,9,1.3318672,11760,3.6,21,Elevated,Night,,0.7215784929,0.5640607036,-0.1575177894,0.4027206248,0.3148082727,-0.08791235211,6,6,0
West Beach,49.3310,-123.2660,5,2020-12-28,30,10,0.33088,11226,4.0,25,Removed,Night,,0.8001812896,1.06293601,0.2627547206,0.5772087891,0.5932358826,0.01602709348,4,6,2
Shore Pine,49.3334,-123.2680,6,2021-02-05,1,1,2.7296976,14919,3.2,25,Control,Day,,0.9231818935,0.9200356532,-0.003146240299,0.5736051614,0.5134816748,-0.06012348653,5,6,1
Shore Pine,49.3334,-123.2681,6,2021-02-06,2,5,0.15624,18349,3.2,25,Removed,Day,,0.9079829704,0.9951038647,0.08712089434,0.5641615395,0.5553780414,-0.008783498061,5,6,1
Shore Pine,49.3334,-123.2680,6,2021-02-06,3,1,1.6832928,17865,3.3,25,Elevated,Day,,0.9407822057,1.056996035,0.1162138296,0.5250605463,0.5899207195,0.06486017325,6,6,0
Shore Pine,49.3334,-123.2680,6,2021-02-05,4,3,0.5103072,13986,3.6,27,Removed,Day,,1.068025869,0.785027648,-0.2829982211,0.7704178125,0.4381322725,-0.33228554,4,6,2
Shore Pine,49.3334,-123.2681,6,2021-02-05,5,8,0.04733344,20730,3.6,27,Elevated,Day,,0.9235929018,1.126794307,0.2032014057,0.8406904886,0.5790577268,-0.2616327618,3,7,4
Shore Pine,49.3335,-123.2682,6,2021-02-06,6,1,2.97024,27153,3.6,26,Removed,Day,,0.8059485626,0.9184854803,0.1125369177,0.5813689973,0.6625472238,0.08117822654,4,4,0
Shore Pine,49.3334,-123.2684,6,2021-02-05,7,7,0.05155232,16909,3.5,27,Removed,Day,,1.022719071,0.7125315434,-0.3101875274,0.930919016,0.3976714261,-0.5332475899,3,6,3
Shore Pine,49.3334,-123.2680,6,2021-02-06,8,6,0.114156,17821,3.5,27,Control,Day,,1.090667369,0.7827590157,-0.3079083533,0.9927682225,0.7124979611,-0.2802702614,3,3,0
Shore Pine,49.3333,-123.2684,6,2021-02-05,9,5,0.2342912,2860,3.4,27,Control,Day,,0.5152863416,0.9690264506,0.4537401091,0.3201654053,0.5408239595,0.2206585542,5,6,1
Shore Pine,49.3335,-123.2681,6,2021-02-05,10,4,0.379544,18308,3.6,27,Control,Day,,1.000609516,0.6274180365,-0.3731914795,0.6217136482,0.3501686735,-0.2715449747,5,6,1
Shore Pine,49.3334,-123.2682,6,2021-02-05,11,2,1.176528,21443,3.6,27,Control,Day,,1.149649196,1.039793222,-0.1098559746,0.7143172081,0.5000348415,-0.2142823666,5,8,3
Shore Pine,49.3334,-123.2680,6,2021-02-05,12,6,0.0989298,21498,3.6,30,Removed,Day,,1.056533599,0.9899900229,-0.066543576,0.6564612345,0.5525239519,-0.1039372826,5,6,1
Shore Pine,49.3335,-123.2682,6,2021-02-05,13,7,0.09892352,23947,3.6,30,Control,Day,,1.041277618,1.2885751,0.2472974819,0.7511230279,0.8006367254,0.04951369753,4,5,1
Shore Pine,49.3335,-123.2681,6,2021-02-06,14,5,0.21402108,19434,3.5,25,Elevated,Day,,0.4799666384,1.028243056,0.548276418,0.3462227445,0.9359471644,0.5897244199,4,3,-1
Shore Pine,49.3335,-123.2681,6,2021-02-06,15,3,0.7928856,23124,3.5,25,Control,Day,,0.8623680439,0.7861221111,-0.07624593283,0.5358193921,0.438743104,-0.09707628817,5,6,1
Shore Pine,49.3335,-123.2680,6,2021-02-05,16,4,0.4657716,20088,3.5,25,Removed,Day,,0.8989818513,0.8020175787,-0.0969642726,0.5585688297,0.4983215397,-0.06024728997,5,5,0
Shore Pine,49.3334,-123.2681,6,2021-02-06,17,2,1.4409408,20103,3.5,25,Removed,Day,,0.9101680974,1.098075021,0.1879069241,0.4677338765,0.5642989333,0.09656505681,7,7,0
Shore Pine,49.3335,-123.2681,6,2021-02-06,18,3,0.51652,23947,3.1,26,Elevated,Day,,0.9430601219,0.6670579787,-0.2760021432,0.4846370334,0.3207870793,-0.1638499541,7,8,1
Shore Pine,49.3334,-123.2680,6,2021-02-05,19,8,0.02128896,20807,3.2,26,Control,Day,,0.7464130781,0.2212313093,-0.5251817687,0.5384232231,0.1374587411,-0.400964482,4,5,1
Shore Pine,49.3333,-123.2680,6,2021-02-06,20,4,0.3467772,18890,3.2,26,Elevated,Day,,0.1793157013,0.4279055566,0.2485898553,0.1293489365,0.2388186383,0.1094697018,4,6,2
Shore Pine,49.3334,-123.2681,6,2021-02-05,21,8,0.04256,25038,3.3,26,Removed,Day,,0.5764494392,0.7525814019,0.1761319627,0.4158203736,0.5428727282,0.1270523546,4,4,0
Shore Pine,49.3334,-123.2681,6,2021-02-06,22,2,0.8190144,19400,3.1,26,Elevated,Day,,1.020510001,0.9243617488,-0.09614825224,0.5695574763,0.5158961148,-0.05366136154,6,6,0
Shore Pine,49.3334,-123.2681,6,2021-02-06,23,6,0.1492224,23910,3.1,26,Elevated,Day,,0.2727899627,0.6310195783,0.3582296157,0.1967763632,0.3920745084,0.1952981452,4,5,1
Shore Pine,49.3336,-123.2681,6,2021-02-05,24,7,0.1001052,11622,3.3,26,Elevated,Day,,0.5876804507,0.4433926298,-0.144287821,0.423921836,0.3198401741,-0.1040816619,4,4,0
West Beach,49.3311,-123.2660,6,2021-02-06,25,2,0.15343944,6369,3.4,25,Elevated,Day,,0.4031305124,0.603931074,0.2008005616,0.2249914229,0.3752434744,0.1502520515,6,5,-1
West Beach,49.3311,-123.2661,6,2021-02-06,26,2,0.2660736,6408,3.7,25,Control,Day,,1.019078598,0.8377323737,-0.1813462247,0.6331891343,0.5205123896,-0.1126767447,5,5,0
West Beach,49.3310,-123.2660,6,2021-02-06,27,1,1.013376,13979,3.7,26,Removed,Day,,1.165825013,0.9096418897,-0.2561831237,0.6506593286,0.507680805,-0.1429785237,6,6,0
West Beach,49.3307,-123.2661,6,2021-02-06,28,1,0.351072,5957,3.8,25,Control,Day,,0.5653868648,0.527533413,-0.03785345179,0.407840413,0.4801816059,0.07234119286,4,3,-1
West Beach,49.3310,-123.2662,6,2021-02-06,29,1,1.3318672,11760,3.6,24,Elevated,Day,,0.7215784929,0.7308108052,0.009232312343,0.4027206248,0.3755624614,-0.02715816338,6,7,1
West Beach,49.3310,-123.2660,6,2021-02-06,30,2,0.33088,11226,4.0,26,Removed,Day,,0.8001812896,0.9275212958,0.1273400062,0.5772087891,0.4766516564,-0.1005571327,4,7,3
Shore Pine,49.3334,-123.2680,7,2021-05-11,1,1,2.7296976,14919,3.2,19,Control,Day,,0.9231818935,1.179341241,0.256159347,0.5736051614,0.6060615086,0.03245634722,5,7,2
Shore Pine,49.3334,-123.2681,7,2021-05-11,2,5,0.15624,18349,3.2,20,Removed,Day,,0.9079829704,0.8312809869,-0.07670198344,0.5641615395,0.5996424787,0.03548093924,5,4,-1
Shore Pine,49.3334,-123.2680,7,2021-05-10,3,1,1.6832928,17865,3.3,19,Elevated,Day,,0.9407822057,0.5646673212,-0.3761148845,0.5250605463,0.407321372,-0.1177391742,6,4,-2
Shore Pine,49.3334,-123.2680,7,2021-05-10,4,3,0.5103072,13986,3.6,18,Removed,Day,,1.068025869,1.048725908,-0.0192999616,0.7704178125,0.6516100431,-0.1188077693,4,5,1
Shore Pine,49.3334,-123.2681,7,2021-05-10,5,8,0.04733344,20730,3.6,20,Elevated,Day,,0.9235929018,0.7239816366,-0.1996112652,0.8406904886,0.658996485,-0.1816940036,3,3,0
Shore Pine,49.3335,-123.2682,7,2021-05-11,6,1,2.97024,27153,3.6,NA,Removed,Day,,0.8059485626,NA,NA,0.5813689973,NA,NA,4,NA,NA
Shore Pine,49.3334,-123.2684,7,2021-05-10,7,7,0.05155232,16909,3.5,19,Removed,Day,,1.022719071,0.8726504442,-0.1500686265,0.930919016,0.6294842341,-0.3014347819,3,4,1
Shore Pine,49.3334,-123.2680,7,2021-05-10,8,6,0.114156,17821,3.5,19,Control,Day,,1.090667369,1.132324991,0.04165762223,0.9927682225,0.7035530743,-0.2892151481,3,5,2
Shore Pine,49.3333,-123.2684,7,2021-05-10,9,5,0.2342912,2860,3.4,20,Control,Day,,0.5152863416,0.6638861748,0.1485998332,0.3201654053,0.412495673,0.09233026764,5,5,0
Shore Pine,49.3335,-123.2681,7,2021-05-10,10,4,0.379544,18308,3.6,19,Control,Day,,1.000609516,0.8808288191,-0.1197806969,0.6217136482,0.6353836846,0.01367003646,5,4,-1
Shore Pine,49.3334,-123.2682,7,2021-05-10,11,2,1.176528,21443,3.6,19,Control,Day,,1.149649196,1.159099805,0.009450608669,0.7143172081,0.6469059184,-0.06741128976,5,6,1
Shore Pine,49.3334,-123.2680,7,2021-05-10,12,6,0.0989298,21498,3.6,19,Removed,Day,,1.056533599,1.013629006,-0.04290459326,0.6564612345,0.7311787698,0.07471753533,5,4,-1
Shore Pine,49.3335,-123.2682,7,2021-05-10,13,7,0.09892352,23947,3.6,19,Control,Day,,1.041277618,1.127176956,0.08589933789,0.7511230279,0.7003544202,-0.05076860772,4,5,1
Shore Pine,49.3335,-123.2681,7,2021-05-11,14,5,0.21402108,19434,3.5,20,Elevated,Day,,0.4799666384,0.3641963532,-0.1157702852,0.3462227445,0.2627121364,-0.08351060815,4,4,0
Shore Pine,49.3335,-123.2681,7,2021-05-11,15,3,0.7928856,23124,3.5,20,Control,Day,,0.8623680439,0.6232276447,-0.2391403992,0.5358193921,0.4495637162,-0.08625567593,5,4,-1
Shore Pine,49.3335,-123.2680,7,2021-05-11,16,4,0.4657716,20088,3.5,20,Removed,Day,,0.8989818513,0.7035910713,-0.1953907799,0.5585688297,0.6404361926,0.08186736289,5,3,-2
Shore Pine,49.3334,-123.2681,7,2021-05-11,17,2,1.4409408,20103,3.5,19,Removed,Day,,0.9101680974,1.121916096,0.2117479988,0.4677338765,0.6970856642,0.2293517877,7,5,-2
Shore Pine,49.3335,-123.2681,7,2021-05-11,18,3,0.51652,23947,3.1,19,Elevated,Day,,0.9430601219,1.09622962,0.1531694979,0.4846370334,0.6118174,0.1271803665,7,6,-1
Shore Pine,49.3334,-123.2680,7,2021-05-10,19,8,0.02128896,20807,3.2,20,Control,Day,,0.7464130781,0.6255958969,-0.1208171811,0.5384232231,0.3887045857,-0.1497186374,4,5,1
Shore Pine,49.3333,-123.2680,7,2021-05-11,20,4,0.3467772,18890,3.2,20,Elevated,Day,,0.1793157013,0.1589795655,-0.02033613581,0.1293489365,0.1146795154,-0.01466942114,4,4,0
Shore Pine,49.3334,-123.2681,7,2021-05-11,21,8,0.04256,25038,3.3,20,Removed,Day,,0.5764494392,0.4125690814,-0.1638803578,0.4158203736,0.3755365615,-0.04028381208,4,3,-1
Shore Pine,49.3334,-123.2681,7,2021-05-11,22,2,0.8190144,19400,3.1,19,Elevated,Day,,1.020510001,1.02368462,0.003174618927,0.5695574763,0.6360510163,0.06649354003,6,5,-1
Shore Pine,49.3334,-123.2681,7,2021-05-11,23,6,0.1492224,23910,3.1,20,Elevated,Day,,0.2727899627,0.6213342723,0.3485443096,0.1967763632,0.3860566894,0.1892803262,4,5,1
Shore Pine,49.3336,-123.2681,7,2021-05-10,24,7,0.1001052,11622,3.3,20,Elevated,Day,,0.5876804507,0.1814155231,-0.4062649277,0.423921836,0.1651315254,-0.2587903105,4,3,-1
West Beach,49.3311,-123.2660,7,2021-05-10,25,2,0.15343944,6369,3.4,18,Elevated,Day,,0.4031305124,0.5514258017,0.1482952893,0.2249914229,0.3977696348,0.1727782119,6,4,-2
West Beach,49.3311,-123.2661,7,2021-05-10,26,2,0.2660736,6408,3.7,18,Control,Day,,1.019078598,1.088498958,0.06942035937,0.6331891343,0.6763224287,0.04313329445,5,5,0
West Beach,49.3310,-123.2660,7,2021-05-10,27,1,1.013376,13979,3.7,18,Removed,Day,,1.165825013,1.053981912,-0.1118431013,0.6506593286,0.6548757824,0.004216453724,6,5,-1
West Beach,49.3307,-123.2661,7,2021-05-10,28,1,0.351072,5957,3.8,19,Control,Day,,0.5653868648,0.5410956466,-0.02429121821,0.407840413,0.3362016282,-0.07163878485,4,5,1
West Beach,49.3310,-123.2662,7,2021-05-10,29,1,1.3318672,11760,3.6,18,Elevated,Day,,0.7215784929,0.7860850779,0.06450658497,0.4027206248,0.4884221204,0.08570149564,6,5,-1
West Beach,49.3310,-123.2660,7,2021-05-10,30,2,0.33088,11226,4.0,20,Removed,Day,,0.8001812896,0.8966834727,0.09650218316,0.5772087891,0.5571407668,-0.02006802228,4,5,1
Shore Pine,49.3334,-123.2680,8,2021-06-10,1,1,2.7296976,14919,3.2,7,Control,Day,,0.9231818935,0.8833881439,-0.03979374961,0.5736051614,0.5488799146,-0.02472524681,5,5,0
Shore Pine,49.3334,-123.2681,8,2021-06-07,2,5,0.15624,18349,3.2,7,Removed,Day,,0.9079829704,0.6777680751,-0.2302148952,0.5641615395,0.6169310886,0.05276954908,5,3,-2
Shore Pine,49.3334,-123.2680,8,2021-06-07,3,1,1.6832928,17865,3.3,7,Elevated,Day,,0.9407822057,0.5354173912,-0.4053648145,0.5250605463,0.3862220075,-0.1388385387,6,4,-2
Shore Pine,49.3334,-123.2680,8,2021-06-07,4,3,0.5103072,13986,3.6,7,Removed,Day,,1.068025869,0.8108417474,-0.2571841217,0.7704178125,0.5848986839,-0.1855191285,4,4,0
Shore Pine,49.3334,-123.2681,8,2021-06-10,5,8,0.04733344,20730,3.6,8,Elevated,Day,,0.9235929018,0.6077499874,-0.3158429144,0.8406904886,0.4383989465,-0.4022915422,3,4,1
Shore Pine,49.3335,-123.2682,8,2021-06-07,6,1,2.97024,27153,3.6,NA,Removed,Day,,0.8059485626,NA,NA,0.5813689973,NA,NA,4,NA,NA
Shore Pine,49.3334,-123.2684,8,2021-06-07,7,7,0.05155232,16909,3.5,7,Removed,Day,,1.022719071,0.5359610497,-0.4867580211,0.930919016,0.4878527714,-0.4430662446,3,3,0
Shore Pine,49.3334,-123.2680,8,2021-06-07,8,6,0.114156,17821,3.5,7,Control,Day,,1.090667369,0.3622105571,-0.7284568119,0.9927682225,0.5225593745,-0.4702088479,3,2,-1
Shore Pine,49.3333,-123.2684,8,2021-06-10,9,5,0.2342912,2860,3.4,8,Control,Day,,0.5152863416,0.2166356659,-0.2986506757,0.3201654053,0.1562696004,-0.1638958049,5,4,-1
Shore Pine,49.3335,-123.2681,8,2021-06-10,10,4,0.379544,18308,3.6,7,Control,Day,,1.000609516,0.6601501394,-0.3404593766,0.6217136482,0.4761976662,-0.145515982,5,4,-1
Shore Pine,49.3334,-123.2682,8,2021-06-10,11,2,1.176528,21443,3.6,7,Control,Day,,1.149649196,0.8148887141,-0.3347604822,0.7143172081,0.7417436729,0.02742646476,5,3,-2
Shore Pine,49.3334,-123.2680,8,2021-06-07,12,6,0.0989298,21498,3.6,9,Removed,Day,,1.056533599,0.7850051969,-0.271528402,0.6564612345,0.7145425233,0.0580812888,5,3,-2
Shore Pine,49.3335,-123.2682,8,2021-06-07,13,7,0.09892352,23947,3.6,9,Control,Day,,1.041277618,0.8236579951,-0.217619623,0.7511230279,0.7497258164,-0.001397211466,4,3,-1
Shore Pine,49.3335,-123.2681,8,2021-06-07,14,5,0.21402108,19434,3.5,7,Elevated,Day,,0.4799666384,0.4347397458,-0.04522689263,0.3462227445,0.3135984377,-0.03262430686,4,4,0
Shore Pine,49.3335,-123.2681,8,2021-06-07,15,3,0.7928856,23124,3.5,7,Control,Day,,0.8623680439,0.5749393564,-0.2874286875,0.5358193921,0.4147310791,-0.121088313,5,4,-1
Shore Pine,49.3335,-123.2680,8,2021-06-10,16,4,0.4657716,20088,3.5,7,Removed,Day,,0.8989818513,0.6425653557,-0.2564164956,0.5585688297,0.5848881924,0.02631936267,5,3,-2
Shore Pine,49.3334,-123.2681,8,2021-06-10,17,2,1.4409408,20103,3.5,7,Removed,Day,,0.9101680974,0.7810644778,-0.1291036195,0.4677338765,0.7109555262,0.2432216497,7,3,-4
Shore Pine,49.3335,-123.2681,8,2021-06-07,18,3,0.51652,23947,3.1,7,Elevated,Day,,0.9430601219,0.8902013329,-0.05285878907,0.4846370334,0.4574729893,-0.02716404408,7,7,0
Shore Pine,49.3334,-123.2680,8,2021-06-07,19,8,0.02128896,20807,3.2,7,Control,Day,,0.7464130781,0.3359275536,-0.4104855245,0.5384232231,0.2423205078,-0.2961027152,4,4,0
Shore Pine,49.3333,-123.2680,8,2021-06-07,20,4,0.3467772,18890,3.2,7,Elevated,Day,,0.1793157013,0.2493797842,0.07006408295,0.1293489365,0.179889489,0.05054055251,4,4,0
Shore Pine,49.3334,-123.2681,8,2021-06-07,21,8,0.04256,25038,3.3,7,Removed,Day,,0.5764494392,0.5432824631,-0.03316697614,0.4158203736,0.3918954576,-0.023924916,4,4,0
Shore Pine,49.3334,-123.2681,8,2021-06-07,22,2,0.8190144,19400,3.1,7,Elevated,Day,,1.020510001,0.5272219144,-0.4932880866,0.5695574763,0.294248153,-0.2753093233,6,6,0
Shore Pine,49.3334,-123.2681,8,2021-06-07,23,6,0.1492224,23910,3.1,7,Elevated,Day,,0.2727899627,0.1984047209,-0.07438524174,0.1967763632,0.1431187535,-0.05365760969,4,4,0
Shore Pine,49.3336,-123.2681,8,2021-06-07,24,7,0.1001052,11622,3.3,7,Elevated,Day,,0.5876804507,0.9164648855,0.3287844348,0.423921836,0.8342022886,0.4102804527,4,3,-1
West Beach,49.3311,-123.2660,8,2021-06-10,25,2,0.15343944,6369,3.4,9,Elevated,Day,,0.4031305124,0.6742462411,0.2711157287,0.2249914229,0.3763039921,0.1513125692,6,6,0
West Beach,49.3311,-123.2661,8,2021-06-10,26,2,0.2660736,6408,3.7,10,Control,Day,,1.019078598,0.7169701748,-0.3021084237,0.6331891343,0.4454786166,-0.1877105176,5,5,0
West Beach,49.3310,-123.2660,8,2021-06-10,27,1,1.013376,13979,3.7,9,Removed,Day,,1.165825013,0.9055464443,-0.2602785691,0.6506593286,0.4653588166,-0.185300512,6,7,1
West Beach,49.3307,-123.2661,8,2021-06-26,28,1,0.351072,5957,3.8,9,Control,Day,,0.5653868648,0.4368488365,-0.1285380282,0.407840413,0.2714294433,-0.1364109697,4,5,1
West Beach,49.3310,-123.2662,8,2021-06-26,29,1,1.3318672,11760,3.6,9,Elevated,Day,,0.7215784929,0.4967781494,-0.2248003435,0.4027206248,0.2552934675,-0.1474271573,6,7,1
West Beach,49.3310,-123.2660,8,2021-06-26,30,2,0.33088,11226,4.0,9,Removed,Day,,0.8001812896,0.9598651611,0.1596838716,0.5772087891,0.5357109465,-0.04149784264,4,6,2
Shore Pine,49.3334,-123.2680,9,2021-07-05,1,1,2.7296976,14919,3.2,11,Control,Day,,0.9231818935,1.209107986,0.2859260924,0.5736051614,0.6748160156,0.1012108542,5,6,1
Shore Pine,49.3334,-123.2681,9,2021-07-05,2,5,0.15624,18349,3.2,15,Removed,Day,,0.9079829704,1.224082567,0.3160995969,0.5641615395,0.8829889247,0.3188273852,5,4,-1
Shore Pine,49.3334,-123.2680,9,2021-07-05,3,1,1.6832928,17865,3.3,20,Elevated,Day,,0.9407822057,1.386622447,0.4458402411,0.5250605463,0.7738887226,0.2488281763,6,6,0
Shore Pine,49.3334,-123.2680,9,2021-07-05,4,3,0.5103072,13986,3.6,15,Removed,Day,,1.068025869,1.040873487,-0.02715238221,0.7704178125,0.6467310599,-0.1236867526,4,5,1
Shore Pine,49.3334,-123.2681,9,2021-07-05,5,8,0.04733344,20730,3.6,15,Elevated,Day,,0.9235929018,1.30130555,0.3777126487,0.8406904886,0.9386935321,0.09800304353,3,4,1
