Site,Date,Tidepool,Treatment,H,H_change,Evenness,E_change,Richness,S_change
Shore Pine,2021-07-05,4,Removed,1.040873487,-0.02715238221,0.6467310599,-0.1236867526,5,1
Shore Pine,2021-07-05,5,Elevated,1.30130555,0.3777126487,0.9386935321,0.09800304353,4,1
Shore Pine,2021-07-05,6,Removed,NA,NA,NA,NA,NA,NA
Shore Pine,2021-07-05,7,Removed,0.7298429195,-0.2928761513,0.6643316546,-0.2665873614,3,0
Shore Pine,2021-07-05,8,Control,1.276767235,0.1860998661,0.9209928792,-0.07177534327,4,1
Shore Pine,2021-07-05,9,Control,NA,NA,NA,NA,NA,NA
Shore Pine,2021-07-05,10,Control,1.298885856,0.2982763397,0.8070431581,0.18532951,5,0
Shore Pine,2021-07-05,11,Control,1.099249904,-0.050399292,0.6830023673,-0.0313148408,5,0
Shore Pine,2021-07-05,12,Removed,0.6163818143,-0.4401517846,0.4446254934,-0.2118357411,4,-1
Shore Pine,2021-07-05,13,Control,0.465999257,-0.5752783611,0.6722948171,-0.07882821082,2,-2
Shore Pine,2021-07-05,14,Elevated,1.029472097,0.5495054584,0.7426071444,0.3963843999,4,0
Shore Pine,2021-07-05,15,Control,0.9722445205,0.1098764766,0.7013261742,0.165506782,4,-1
Shore Pine,2021-07-05,16,Removed,0.4596313267,-0.4393505246,0.4183744633,-0.1401943664,3,-2
Shore Pine,2021-07-05,17,Removed,0.6883814386,-0.2217866587,0.4277154361,-0.04001844039,5,-2
Shore Pine,2021-07-05,18,Elevated,1.051883848,0.1088237258,0.5870675533,0.1024305199,6,-1
Shore Pine,2021-07-05,19,Control,0.5930358008,-0.1533772773,0.5398044487,0.001381225574,3,-1
Shore Pine,2021-07-05,20,Elevated,0.7862728513,0.60695715,0.4388272337,0.3094782972,6,2
Shore Pine,2021-07-05,21,Removed,1.129179907,0.5527304683,0.7015989239,0.2857785503,5,1
Shore Pine,2021-07-05,22,Elevated,NA,NA,NA,NA,NA,NA
Shore Pine,2021-07-05,23,Elevated,1.435372217,1.162582254,0.8010964874,0.6043201243,6,2
Shore Pine,2021-07-05,24,Elevated,0.9556998911,0.3680194404,0.8699155298,0.4459936938,3,-1
West Beach,2021-07-05,25,Elevated,0.8870727199,0.4839422075,0.639887707,0.4148962841,4,-2
West Beach,2021-07-05,26,Control,1.063188462,0.0441098639,0.7669283611,0.1337392268,4,-1
West Beach,2021-07-05,27,Removed,0.7126900879,-0.4531349254,0.5140972278,-0.1365621009,4,-2
West Beach,2021-07-05,28,Control,0.8673000567,0.3019131919,0.7894505329,0.3816101199,3,-1
West Beach,2021-07-05,29,Elevated,0.9141537443,0.1925752514,0.5679956569,0.1652750321,5,-1
West Beach,2021-07-05,30,Removed,0.8001433132,-0.00003797631488,0.7283218306,0.1511130415,3,-1
Shore Pine,2021-08-22,1,Control,1.45537466,0.5321927667,0.6998872683,0.1262821069,8,3
Shore Pine,2021-08-22,2,Removed,1.268845876,0.3608629059,0.7883782695,0.22421673,5,0
Shore Pine,2021-08-22,3,Elevated,0.7924891053,-0.1482931004,0.7213546703,0.196294124,3,-3
Shore Pine,2021-08-22,4,Removed,1.039720771,-0.02830509827,0.9463946304,0.1759768179,3,-1
Shore Pine,2021-08-22,5,Elevated,1.020053419,0.09646051685,0.9284926349,0.08780214626,3,0
Shore Pine,2021-08-22,6,Removed,NA,NA,NA,NA,NA,NA
Shore Pine,2021-08-22,7,Removed,0.6722962281,-0.3504228427,0.4849592171,-0.4459597989,4,1
Shore Pine,2021-08-22,8,Control,1.146173217,0.05550584801,0.6396914523,-0.3530767702,6,3
Shore Pine,2021-08-22,9,Control,1.218715985,0.7034296433,0.7572308167,0.4370654114,5,0
Shore Pine,2021-08-22,10,Control,NA,NA,NA,NA,NA,NA
Shore Pine,2021-08-22,11,Control,0.2554411109,-0.8942080854,0.2325125192,-0.4818046889,3,-2
Shore Pine,2021-08-22,12,Removed,0.5023557441,-0.5541778548,0.457263904,-0.1991973305,3,-2
Shore Pine,2021-08-22,13,Control,0.5887186412,-0.4525589769,0.4246707321,-0.3264522958,4,0
Shore Pine,2021-08-22,14,Elevated,0.6538907628,0.1739241244,0.4062851743,0.06006242979,5,1
Shore Pine,2021-08-22,15,Control,1.054920168,0.1925521241,0.9602297179,0.4244103257,3,-2
Shore Pine,2021-08-22,16,Removed,1.080132417,0.1811505658,0.6028333801,0.04426455034,6,1
Shore Pine,2021-08-22,17,Removed,1.154363184,0.2441950868,0.64426236,0.1765284834,6,-1
Shore Pine,2021-08-22,18,Elevated,1.311671151,0.3686110291,0.8149871088,0.3303500754,5,-2
Shore Pine,2021-08-22,19,Control,0.2051740123,-0.5412390657,0.1480017651,-0.390421458,4,0
Shore Pine,2021-08-22,20,Elevated,1.278313193,1.098997491,0.7942606439,0.6649117074,5,1
Shore Pine,2021-08-22,21,Removed,1.250421171,0.6739717321,0.6978733434,0.2820529697,6,2
Shore Pine,2021-08-22,22,Elevated,NA,NA,NA,NA,NA,NA
Shore Pine,2021-08-22,23,Elevated,1.240123735,0.9673337728,0.7705322,0.5737558369,5,1
Shore Pine,2021-08-22,24,Elevated,1.233776256,0.6460958048,0.688583639,0.2646618031,6,2
West Beach,2021-08-22,25,Elevated,0.6628923361,0.2597618237,0.3699672571,0.1449758342,6,0
West Beach,2021-08-22,26,Control,1.348096267,0.3290176689,0.7523868524,0.1191977181,6,1
West Beach,2021-08-22,27,Removed,1.026274464,-0.1395505495,0.572774684,-0.07788464462,6,0
West Beach,2021-08-22,28,Control,0.6396343057,0.07424744095,0.4613986204,0.05355820743,4,0
West Beach,2021-08-22,29,Elevated,1.279007519,0.5574290264,0.7946920533,0.3919714285,5,-1
West Beach,2021-08-22,30,Removed,0.8207296254,0.02054833586,0.421771594,-0.1554371951,7,3
